Ai,$C_{euc}$,$C_{hau}$,$C_{che}$,$T_{euc}$,$T_{hau}$,$T_{che}$,$C_{euc}$,$C_{hau}$,$C_{che}$,$T_{euc}$,$T_{hau}$,$T_{che}$
$A_{1}$,0.020877087102977622,0.020549804975114407,0.020794021665551932,0.02193372044422162,0.07533465339224615,0.09153933317569259,13,13,13,13,13,13
$A_{2}$,0.7795872195431545,0.780885242873302,0.8007189242473612,0.8039753150982002,0.9061379323169997,0.8581006851696129,3,3,2,3,2,2
$A_{3}$,0.07934169857832363,0.08066408210924636,0.08606912141637131,0.08477350546905789,0.15698604544956657,0.21777108368416162,11,11,11,11,12,10
$A_{4}$,0.1457730448732328,0.1508232078227466,0.1625411568259259,0.14970798625049936,0.21302429446507284,0.30004156855870856,8,8,8,8,9,8
$A_{5}$,0.09232894279585172,0.09715511063817092,0.09450623894531694,0.08577831563138939,0.2492776356518343,0.1823807641360333,9,10,10,10,7,11
$A_{6}$,0.015001995029713939,0.013832198677996854,0.014543497702754864,0.01679879232356004,0.05835939058049716,0.07991975443334619,14,14,14,14,14,14
$A_{7}$,0.042271249285396356,0.05053074685437727,0.05450097903670024,0.040522221636181584,0.1646655270619217,0.1393013674929251,12,12,12,12,10,12
$A_{8}$,0.0059643398165990956,0.005315720777075526,0.0059620336464797875,0.007867765302641942,0.03407918422079989,0.04906998732579756,15,15,15,15,15,15
$A_{9}$,0.1810963983344348,0.1755097543481794,0.18887646740464703,0.18037531424095846,0.24813239111252866,0.3437528644455673,7,7,7,7,8,6
$A_{10}$,0.49009964245288606,0.47329361972964773,0.4837718425577439,0.5010451610635491,0.4879954350992879,0.5737606987900795,4,4,4,5,5,5
$A_{11}$,0.4848202801637835,0.47122595346648993,0.4695820223675321,0.5017833585443601,0.7318130732433491,0.696337878946049,5,5,5,4,3,4
$A_{12}$,0.002025359897392036,0.0026737888025621477,0.002830064942196074,0.002333062557823808,0.030591818596644563,0.03551906393519611,16,16,16,16,16,16
$A_{13}$,0.08381496398887693,0.09937840986979588,0.11162662177812431,0.08676592508537763,0.16323496000222248,0.2290342219657873,10,9,9,9,11,9
$A_{14}$,0.8538584057686861,0.8012627299260572,0.7729747660380817,0.860828756493836,0.7023982363573711,0.702210868065974,2,2,3,2,4,3
$A_{15}$,0.21598502923578594,0.20130282587232318,0.19230471616062955,0.20168307250056966,0.3726897581617253,0.30078794910274936,6,6,6,6,6,7
$A_{16}$,0.9439938002857349,0.9338009175594654,0.95977196475057,0.951281915685546,0.970605374847106,0.9220597060339929,1,1,1,1,1,1
