Ai,$COM + COD_{euc}$,$COM + COD_{hau}$,$COM + COD_{che}$,$COM + TOP_{euc}$,$COM + TOP_{hau}$,$COM + TOP_{che}$,$COM + COD_{euc}$,$COM + COD_{hau}$,$COM + COD_{che}$,$COM + TOP_{euc}$,$COM + TOP_{hau}$,$COM + TOP_{che}$
$A_{1}$,0.020206647140970296,0.019259043320282138,0.01947968499648087,0.019988842714343424,0.06410882840178606,0.07755325457059355,13,13,13,13,13,13
$A_{2}$,0.8072593924225527,0.8405688815850615,0.8507171666181664,0.839446516815886,0.9103024103592933,0.899129125951555,3,2,2,3,2,2
$A_{3}$,0.06960338709886542,0.06351926177909901,0.06554609568683219,0.07395493634801986,0.10183965966573329,0.13995891522371964,11,11,11,11,12,12
$A_{4}$,0.13727334974326907,0.13030614527029916,0.13519600735159695,0.13876499242082382,0.17196079974865816,0.24947025650576604,8,8,8,8,10,9
$A_{5}$,0.0974955524058972,0.10997130940193599,0.09452845102670307,0.08849406513636521,0.2401223577153357,0.21829148040234406,9,9,10,10,7,10
$A_{6}$,0.01213359898962428,0.009925150610163315,0.010536619902863016,0.012495936888380434,0.037003087521666374,0.04752493152931864,14,14,14,14,15,15
$A_{7}$,0.04235948620994726,0.05153027506588926,0.052009868640256446,0.0396900583506968,0.16779251215617946,0.1787470157349765,12,12,12,12,11,11
$A_{8}$,0.006893477512290183,0.006005071281396723,0.0066283772469502835,0.007449736537558016,0.034112607317931726,0.04543325681602354,15,15,15,15,16,16
$A_{9}$,0.16219061654704575,0.14932477886107137,0.157432211970025,0.15985063901032875,0.17487727056633612,0.2761337096594841,7,7,7,7,8,7
$A_{10}$,0.5557586902103594,0.49341525837723865,0.49318263976350185,0.5654486375600145,0.4329460336429812,0.5572189558579039,4,5,5,4,6,5
$A_{11}$,0.5072667791532239,0.51425529262243,0.5260093368237326,0.5341720272889313,0.6943085519015801,0.7207173332249207,5,4,4,5,3,3
$A_{12}$,0.0032774974726695783,0.005051161219031819,0.004925774560391941,0.0036187380371591085,0.04902417592686184,0.061290729350194674,16,16,16,16,14,14
$A_{13}$,0.08843905789069298,0.10438731017274197,0.11605125067233145,0.09652170427111906,0.17412754861337823,0.2725983987776694,10,10,9,9,9,8
$A_{14}$,0.8496226113412269,0.7291268564975283,0.7422475257748578,0.854849235872064,0.6015794365782703,0.66718565307832,2,3,3,2,4,4
$A_{15}$,0.3100964107278877,0.3386101036080791,0.32863349402064473,0.30621196732402844,0.4627190229820855,0.46675244264089916,6,6,6,6,5,6
$A_{16}$,0.9406917788543474,0.958225440737642,0.9596124451188455,0.9482505181593557,0.9785927156805033,0.9605407000182846,1,1,1,1,1,1
